db.file	Genome	DB	Region	FI.1	FI.2	FI.3	URL	dbScore
hg38.ensembl.cgi.Genebody.lincRNA.RData	hg38	ensembl	cgi	Genebody	lincRNA	NA	NA	2
hg38.ensembl.cgi.Genebody.misc.RData	hg38	ensembl	cgi	Genebody	misc	NA	NA	2
hg38.ensembl.cgi.Genebody.protein_coding.RData	hg38	ensembl	cgi	Genebody	protein_coding	NA	NA	1
hg38.ensembl.cgi.Genedeserts.No_anno.RData	hg38	ensembl	cgi	Genedeserts	No_anno	NA	NA	2
hg38.ensembl.cgi.OtherIntergenic.No_anno.RData	hg38	ensembl	cgi	OtherIntergenic	No_anno	NA	NA	2
hg38.ensembl.cgi.Promoter1k.lincRNA.RData	hg38	ensembl	cgi	Promoter1k	lincRNA	NA	NA	2
hg38.ensembl.cgi.Promoter1k.miRNA.RData	hg38	ensembl	cgi	Promoter1k	miRNA	NA	NA	2
hg38.ensembl.cgi.Promoter1k.misc.RData	hg38	ensembl	cgi	Promoter1k	misc	NA	NA	2
hg38.ensembl.cgi.Promoter1k.protein_coding.RData	hg38	ensembl	cgi	Promoter1k	protein_coding	NA	NA	1
hg38.ensembl.cgi.Promoter3k.lincRNA.RData	hg38	ensembl	cgi	Promoter3k	lincRNA	NA	NA	2
hg38.ensembl.cgi.Promoter3k.miRNA.RData	hg38	ensembl	cgi	Promoter3k	miRNA	NA	NA	2
hg38.ensembl.cgi.Promoter3k.misc.RData	hg38	ensembl	cgi	Promoter3k	misc	NA	NA	2
hg38.ensembl.cgi.Promoter3k.protein_coding.RData	hg38	ensembl	cgi	Promoter3k	protein_coding	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.lincRNA.RData	hg38	ensembl	cgi	ProximalPromoter	lincRNA	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.miRNA.RData	hg38	ensembl	cgi	ProximalPromoter	miRNA	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.misc.RData	hg38	ensembl	cgi	ProximalPromoter	misc	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.protein_coding.RData	hg38	ensembl	cgi	ProximalPromoter	protein_coding	NA	NA	0
hg38.ensembl.cgi.Subtelomere.No_anno.RData	hg38	ensembl	cgi	Subtelomere	No_anno	NA	NA	2
